avots,id,nosaukums,url,diena,cves,tips
0day,Ivanti-Connect-Secure-Unauthenticated-Remote-Code-Execution-Expl,Ivanti Connect Secure Unauthenticated Remote Code Execution Exploit,,2024-02-21 00:00:00+00:00,"CVE-2023-36661,CVE-2024-21887,CVE-2024-21893",rce
0day,WordPress-6-4-3-Username-Disclosure-Vulnerability,WordPress 6.4.3 Username Disclosure Vulnerability,,2024-02-21 00:00:00+00:00,,
0day,SitePad-1-8-2-Cross-Site-Scripting-Vulnerability,SitePad 1.8.2 Cross Site Scripting Vulnerability,,2024-02-22 00:00:00+00:00,,xss
0day,Dotclear-2-29-Cross-Site-Scripting-Vulnerability,Dotclear 2.29 Cross Site Scripting Vulnerability,,2024-02-22 00:00:00+00:00,,xss
0day,CMS-Made-Simple-2-2-19-Server-Side-Template-Injection-Vulnerabil,CMS Made Simple 2.2.19 Server-Side Template Injection Vulnerability,,2024-02-22 00:00:00+00:00,,
0day,CMS-Made-Simple-2-2-19-Cross-Site-Scripting-Vulnerability,CMS Made Simple 2.2.19 Cross Site Scripting Vulnerability,,2024-02-22 00:00:00+00:00,,xss
0day,CMS-Made-Simple-2-2-19-Remote-Code-Execution-Vulnerability,CMS Made Simple 2.2.19 Remote Code Execution Vulnerability,,2024-02-22 00:00:00+00:00,,rce
0day,QNAP-QTS-QuTS-Hero-Unauthenticated-Remote-Code-Execution-Exploit,QNAP QTS / QuTS Hero Unauthenticated Remote Code Execution Exploit,,2024-02-22 00:00:00+00:00,CVE-2023-47218,rce
0day,Tosibox-Key-Service-3-3-0-Local-Privilege-Escalation-Unquoted-Se,Tosibox Key Service 3.3.0 Local Privilege Escalation / Unquoted Service Path Vulnerabilities,,2024-02-24 00:00:00+00:00,,priv_esc
0day,Simple-Inventory-Management-System-v1-0-email-SQL-Injection-Vuln,Simple Inventory Management System v1.0 - (email) SQL Injection Vulnerability,,2024-02-26 00:00:00+00:00,,sqli
0day,comments-like-dislike-1-2-0-Authenticated-Subscriber-Plugin-Sett,comments-like-dislike < 1.2.0 - Authenticated (Subscriber+) Plugin Setting Reset Exploit,,2024-02-26 00:00:00+00:00,CVE-2023-3244,
0day,taskhub-2-8-7-SQL-Injection-Vulnerability,taskhub 2.8.7 - SQL Injection Vulnerability,,2024-02-26 00:00:00+00:00,CVE-2023-4987,sqli
0day,Online-Shopping-System-Advanced-Sql-Injection-Vulnerability,Online Shopping System Advanced - Sql Injection Vulnerability,,2024-02-26 00:00:00+00:00,,sqli
0day,Flashcard-Quiz-App-v1-0-card-SQL-Injection-Vulnerability,Flashcard Quiz App v1.0 - (card) SQL Injection Vulnerability,,2024-02-26 00:00:00+00:00,,sqli
0day,FAQ-Management-System-v1-0-faq-SQL-Injection-Vulnerability,FAQ Management System v1.0 - (faq) SQL Injection Vulnerability,,2024-02-26 00:00:00+00:00,,sqli
0day,Dawa-pharma-1-0-2022-Multiple-SQL-Injection-Vulnerabilities,Dawa pharma 1.0-2022 - Multiple SQL Injection Vulnerabilities,,2024-02-27 00:00:00+00:00,,sqli
0day,Zoo-Management-System-1-0-Unauthenticated-Remote-Code-Execute-Vu,Zoo Management System 1.0 - Unauthenticated Remote Code Execute Vulnerability,,2024-02-27 00:00:00+00:00,,
0day,Moodle-4-3-Insecure-Direct-Object-Reference-Vulnerability,Moodle 4.3 - Insecure Direct Object Reference Vulnerability,,2024-02-27 00:00:00+00:00,,
0day,Moodle-4-3-Reflected-XSS-Vulnerability,Moodle 4.3 - Reflected XSS Vulnerability,,2024-02-27 00:00:00+00:00,,xss
0day,SuperStoreFinder-Multiple-Vulnerabilities,SuperStoreFinder - Multiple Vulnerabilities,,2024-02-27 00:00:00+00:00,,
0day,Automatic-Systems-SOC-FL9600-FastLine-Directory-Transversal-Vuln,Automatic Systems SOC FL9600 FastLine - Directory Transversal Vulnerability,,2024-02-27 00:00:00+00:00,,
0day,Automatic-Systems-SOC-FL9600-FastLine-Backdoor-Account-Vulnerabi,Automatic Systems SOC FL9600 FastLine - Backdoor Account Vulnerability,,2024-02-27 00:00:00+00:00,,
0day,Ubuntu-22-04-perl2exe-V30-10C-Arbitrary-Code-Execution-Vulnerabi,Ubuntu 22.04 perl2exe < V30.10C - Arbitrary Code Execution Vulnerability,,2024-02-27 00:00:00+00:00,,rce
0day,Wordpress-Canto-Plugin-3-0-5-Remote-File-Inclusion-and-Remote-Co,Wordpress Canto Plugin < 3.0.5 - Remote File Inclusion and Remote Code Execution Exploit,,2024-02-27 00:00:00+00:00,,rce
0day,TEM-Opera-Plus-FM-Family-Transmitter-35-45-Remote-Code-Execution,TEM Opera Plus FM Family Transmitter 35.45 - Remote Code Execution Vulnerability,,2024-02-27 00:00:00+00:00,,rce
0day,TEM-Opera-Plus-FM-Family-Transmitter-35-45-XSRF-Vulnerability,TEM Opera Plus FM Family Transmitter 35.45 - XSRF Vulnerability,,2024-02-27 00:00:00+00:00,,
0day,Atlassian-Confluence-Data-Center-and-Server-Authentication-Bypas,Atlassian Confluence Data Center and Server - Authentication Bypass Exploit,,2024-02-27 00:00:00+00:00,CVE-2023-22515,
0day,WordPress-Admin-Bar-And-Dashboard-Access-Control-1-28-XSS-Vulner,WordPress Admin Bar And Dashboard Access Control 1.28 XSS Vulnerability,,2024-02-28 00:00:00+00:00,CVE-2023-47184,xss
0day,WordPress-WP-Rocket-2-10-3-Local-File-Inclusion-Vulnerability,WordPress WP Rocket < 2.10.3 - Local File Inclusion Vulnerability,,2024-02-28 00:00:00+00:00,,lfi
0day,WordPress-WP-Fastest-Cache-1-2-2-SQL-Injection-Vulnerability,WordPress WP Fastest Cache 1.2.2 SQL Injection Vulnerability,,2024-02-28 00:00:00+00:00,CVE-2023-6063,sqli
0day,Saflok-Key-Derication-Function-Exploit,Saflok - Key Derication Function Exploit,,2024-02-28 00:00:00+00:00,,
0day,Blood-Bank-v1-0-Multiple-SQL-Injection-Vulnerability,Blood Bank v1.0 - Multiple SQL Injection Vulnerability,,2024-02-28 00:00:00+00:00,"CVE-2023-46014,CVE-2023-46017,CVE-2023-46018",sqli
0day,WordPress-IDonate-Blood-Request-Management-System-1-8-1-Cross-Si,WordPress IDonate Blood Request Management System 1.8.1 Cross Site Scripting Vulnerability,,2024-03-02 00:00:00+00:00,,xss
0day,BoidCMS-2-0-0-Command-Injection-Exploit,BoidCMS 2.0.0 Command Injection Exploit,,2024-03-02 00:00:00+00:00,CVE-2023-38836,
0day,Petrol-Pump-Management-Software-v1-0-Address-Stored-Cross-Site-S,Petrol Pump Management Software v1.0 - (Address) Stored Cross Site Scripting Vulnerability,,2024-03-04 00:00:00+00:00,CVE-2024-27743,xss
0day,Petrol-Pump-Management-Software-v-1-0-Stored-Cross-Site-Scriptin,Petrol Pump Management Software v.1.0 - Stored Cross Site Scripting via SVG file Vulnerability,,2024-03-04 00:00:00+00:00,CVE-2024-27744,xss
0day,Petrol-Pump-Management-Software-v-1-0-SQL-Injection-Vulnerabilit,Petrol Pump Management Software v.1.0 - SQL Injection Vulnerability,,2024-03-04 00:00:00+00:00,CVE-2024-27746,sqli
0day,Petrol-Pump-Management-Software-v1-0-Remote-Code-Execution-via-F,Petrol Pump Management Software v1.0 - Remote Code Execution via File Upload Vulnerability,,2024-03-04 00:00:00+00:00,CVE-2024-27747,rce
0day,Real-Estate-Management-System-v1-0-Remote-Code-Execution-via-Fil,Real Estate Management System v1.0 - Remote Code Execution via File Upload Vulnerability,,2024-03-04 00:00:00+00:00,,rce
0day,Simple-Student-Attendance-System-v1-0-Time-Based-Blind-SQL-Injec,Simple Student Attendance System v1.0 - Time Based Blind SQL Injection Vulnerability,,2024-03-04 00:00:00+00:00,,sqli
0day,Simple-Student-Attendance-System-v1-0-Time-Based-Blind-Union-Bas,Simple Student Attendance System v1.0 Time Based Blind & Union Based SQL Injection Vulnerability,,2024-03-04 00:00:00+00:00,,sqli
0day,Windows-PowerShell-Event-Log-Bypass-Single-Quote-Code-Execution-,Windows PowerShell - Event Log Bypass Single Quote Code Execution Vulnerability,,2024-03-04 00:00:00+00:00,,rce
0day,AC-Repair-and-Services-System-v1-0-Multiple-SQL-Injection-Vulner,AC Repair and Services System v1.0 - Multiple SQL Injection Vulnerability,,2024-03-04 00:00:00+00:00,,sqli
0day,Enrollment-System-v1-0-SQL-Injection-Exploit,Enrollment System v1.0 - SQL Injection Exploit,,2024-03-04 00:00:00+00:00,,sqli
0day,TPC-110W-Missing-Authentication-for-Critical-Function-Exploit,TPC-110W - Missing Authentication for Critical Function Exploit,,2024-03-04 00:00:00+00:00,,
0day,Magento-ver-2-4-6-XSLT-Server-Side-Injection-Vulnerability,Magento ver. 2.4.6 - XSLT Server Side Injection Vulnerability,,2024-03-04 00:00:00+00:00,,
0day,Boss-Mini-1-4-0-local-file-inclusion-Exploit,Boss Mini 1.4.0 - local file inclusion Exploit,,2024-03-04 00:00:00+00:00,CVE-2023-3643,lfi
0day,A-PDF-All-to-MP3-Converter-2-0-0-DEP-Bypass-via-HeapCreate-HeapA,A-PDF All to MP3 Converter 2.0.0 - DEP Bypass via HeapCreate + HeapAlloc Exploit,,2024-03-04 00:00:00+00:00,,
0day,Maxima-Max-Pro-Power-BLE-Traffic-Replay-Unauthenticated-Vulnerab,Maxima Max Pro Power - BLE Traffic Replay (Unauthenticated) Vulnerability,,2024-03-04 00:00:00+00:00,CVE-2023-46916,
0day,GL-iNet-AR300M-v4-3-7-Arbitrary-File-Read-Exploit,GL.iNet AR300M v4.3.7 Arbitrary File Read Exploit,,2024-03-04 00:00:00+00:00,CVE-2023-46455,
0day,GL-iNet-AR300M-v4-3-7-Remote-Code-Execution-Exploit,GL.iNet AR300M v4.3.7 Remote Code Execution Exploit,,2024-03-04 00:00:00+00:00,CVE-2023-46454,rce
0day,GL-iNet-AR300M-v3-216-Remote-Code-Execution-Exploit,GL.iNet AR300M v3.216 Remote Code Execution Exploit,,2024-03-04 00:00:00+00:00,CVE-2023-46456,rce
0day,TitanNit-Web-Control-2-01-Atemio-7600-Root-Remote-Code-Execution,TitanNit Web Control 2.01 / Atemio 7600 - Root Remote Code Execution Exploit,,2024-03-04 00:00:00+00:00,,rce
0day,R-Radio-Network-FM-Transmitter-1-07-system-cgi-Password-Disclosu,R Radio Network FM Transmitter 1.07 system.cgi - Password Disclosure Vulnerability,,2024-03-04 00:00:00+00:00,,
0day,Easywall-0-3-1-Authenticated-Remote-Command-Execution-Exploit,Easywall 0.3.1 - Authenticated Remote Command Execution Exploit,,2024-03-04 00:00:00+00:00,,
0day,Wallos-Shell-Upload-Vulnerability,Wallos Shell Upload Vulnerability,,2024-03-05 00:00:00+00:00,,
0day,XAMPP-5-6-40-SQL-Injection-Vulnerability,XAMPP 5.6.40 SQL Injection Vulnerability,,2024-03-05 00:00:00+00:00,,sqli
0day,Solar-Log-200-PM-3-6-0-Build-99-15-10-2019-Stored-XSS-Vulnerabil,Solar-Log 200 PM+ 3.6.0 Build 99 - 15.10.2019 - Stored XSS Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-46344,xss
0day,Wordpress-Neontext-Plugin-Stored-XSS-Vulnerability,Wordpress Neontext Plugin - Stored XSS Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-5817,xss
0day,kk-Star-Ratings-5-4-6-Rating-Tampering-via-Race-Condition-Vulner,kk Star Ratings < 5.4.6 - Rating Tampering via Race Condition Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-4642,
0day,TP-Link-JetStream-Smart-Switch-TL-SG2210P-5-0-Build-20211201-Pri,TP-Link JetStream Smart Switch TL-SG2210P 5.0 Build 20211201 Privilege Escalation Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-43318,priv_esc
0day,Multilaser-RE160-Cookie-Manipulation-Access-Bypass-Vulnerability,Multilaser RE160 Cookie Manipulation Access Bypass Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-38946,
0day,Multilaser-RE160V-RE160-URL-Manipulation-Access-Bypass-Vulnerabi,Multilaser RE160V / RE160 URL Manipulation Access Bypass Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-38945,
0day,Multilaser-RE160V-Header-Manipulation-Access-Bypass-Vulnerabilit,Multilaser RE160V Header Manipulation Access Bypass Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2023-38944,
0day,RAD-SecFlow-2-Path-Traversal-Vulnerability,RAD SecFlow-2 Path Traversal Vulnerability,,2024-03-05 00:00:00+00:00,CVE-2019-6268,
0day,Saflok-System-6000-Key-Derivation-Exploit,Saflok System 6000 Key Derivation Exploit,,2024-03-05 00:00:00+00:00,,
0day,Customer-Support-System-1-0-Multiple-SQL-injection-Vulnerability,Customer Support System 1.0 - Multiple SQL injection Vulnerability,,2024-03-06 00:00:00+00:00,CVE-2023-50071,sqli
0day,CSZ-CMS-Version-1-3-0-Authenticated-Remote-Command-Execution-Exp,CSZ CMS Version 1.3.0 - Authenticated Remote Command Execution Exploit,,2024-03-06 00:00:00+00:00,,
0day,elFinder-Web-file-manager-Version-2-1-53-Remote-Command-Executio,elFinder Web file manager Version - 2.1.53 Remote Command Execution Vulnerability,,2024-03-06 00:00:00+00:00,,lfi
0day,Artica-Proxy-4-50-Loopback-Service-Disclosure-Vulnerability,Artica Proxy 4.50 Loopback Service Disclosure Vulnerability,,2024-03-06 00:00:00+00:00,CVE-2024-2056,
0day,Artica-Proxy-4-40-4-50-Authentication-Bypass-Privilege-Escalatio,Artica Proxy 4.40 / 4.50 Authentication Bypass / Privilege Escalation Vulnerability,,2024-03-06 00:00:00+00:00,CVE-2024-2055,priv_esc
0day,Artica-Proxy-4-50-Unauthenticated-PHP-Deserialization-Vulnerabil,Artica Proxy 4.50 Unauthenticated PHP Deserialization Vulnerability,,2024-03-06 00:00:00+00:00,CVE-2024-2054,
0day,Artica-Proxy-4-40-4-50-Local-File-Inclusion-Traversal-Vulnerabil,Artica Proxy 4.40 / 4.50 Local File Inclusion / Traversal Vulnerability,,2024-03-06 00:00:00+00:00,CVE-2024-2053,lfi
0day,Customer-Support-System-1-0-SQL-Injection-Vulnerability,Customer Support System 1.0 SQL Injection Vulnerability,,2024-03-06 00:00:00+00:00,CVE-2023-50071,sqli
0day,GL-iNet-Router-Authentication-Bypass-Exploit,GL.iNet - Router Authentication Bypass Exploit,,2024-03-06 00:00:00+00:00,,
0day,TP-Link-TL-WR740N-Buffer-Overflow-DOS-Exploit,TP-Link TL-WR740N - Buffer Overflow DOS Exploit,,2024-03-11 00:00:00+00:00,,overflow
0day,Numbas-v7-3-Remote-Code-Execution-Exploit,Numbas < v7.3 - Remote Code Execution Exploit,,2024-03-11 00:00:00+00:00,CVE-2024-27612,rce
0day,DataCube3-v1-0-Unrestricted-file-upload-Remote-Code-Execution-Ex,DataCube3 v1.0 - Unrestricted file upload Remote Code Execution Exploit,,2024-03-11 00:00:00+00:00,"CVE-2024-25832,CVE-2024-25830",rce
0day,Ladder-v0-0-21-Server-side-request-forgery-Vulnerability,Ladder v0.0.21 - Server-side request forgery Vulnerability,,2024-03-11 00:00:00+00:00,CVE-2024-27620,
0day,Akaunting-3-1-3-Remote-Code-Execution-Exploit,Akaunting < 3.1.3 - Remote Code Execution Exploit,,2024-03-11 00:00:00+00:00,CVE-2024-22836,rce
0day,WordPress-Hide-My-WP-6-2-9-Unauthenticated-SQL-injection-Vulnera,WordPress Hide My WP < 6.2.9 - Unauthenticated SQL injection Vulnerability,,2024-03-11 00:00:00+00:00,CVE-2022-4681,sqli
0day,Hitachi-NAS-HNAS-System-Management-Unit-SMU-Backup-Restore-14-8-,Hitachi NAS (HNAS) System Management Unit (SMU) Backup & Restore < 14.8.7825.01 IDOR Exploit,,2024-03-11 00:00:00+00:00,CVE-2023-5808,
0day,Microsoft-Windows-Defender-Trojan-Win32-Powessere-G-Detection-Mi,Microsoft Windows Defender / Trojan.Win32/Powessere.G - Detection Mitigation Bypass Vulnerability,,2024-03-11 00:00:00+00:00,,
0day,WordPress-Duplicator-Plugin-1-5-7-1-Unauthenticated-Sensitive-Da,WordPress Duplicator Plugin < 1.5.7.1 - Unauthenticated Sensitive Data Exposure Account Takeover,,2024-03-11 00:00:00+00:00,CVE-2023-6114,
0day,Adobe-ColdFusion-v-2018-15-and-earlier-and-2021-5-and-earlier-Ar,"Adobe ColdFusion v 2018,15 (and earlier) and 2021,5 and earlier - Arbitrary File Read Exploit",,2024-03-11 00:00:00+00:00,CVE-2023-26360,
0day,Sitecore-Remote-Code-Execution-v8-2-Exploit,Sitecore - Remote Code Execution v8.2 Exploit,,2024-03-11 00:00:00+00:00,CVE-2023-35813,rce
0day,Human-Resource-Management-System-1-0-employeeid-SQL-Injection-Vu,Human Resource Management System 1.0 - (employeeid) SQL Injection Vulnerability,,2024-03-12 00:00:00+00:00,,rce
0day,OSGi-v3-8-3-18-Console-Remote-Code-Execute-Exploit,OSGi v3.8-3.18 Console - Remote Code Execute Exploit,,2024-03-12 00:00:00+00:00,,
0day,OSGi-v3-7-2-and-below-Console-Remote-Code-Execute-Exploit,OSGi v3.7.2 (and below) Console - Remote Code Execute Exploit,,2024-03-12 00:00:00+00:00,,
0day,Client-Details-System-1-0-SQL-Injection-Vulnerability,Client Details System 1.0 - SQL Injection Vulnerability,,2024-03-12 00:00:00+00:00,CVE-2023-7137,sqli
0day,Cisco-Firepower-Management-Center-6-6-7-1-Authenticated-Remote-C,Cisco Firepower Management Center < 6.6.7.1 - Authenticated Remote Code Execute Exploit,,2024-03-12 00:00:00+00:00,CVE-2023-20048,
0day,VMware-Cloud-Director-10-5-Bypass-identity-verification-Exploit,VMware Cloud Director 10.5 - Bypass identity verification Exploit,,2024-03-12 00:00:00+00:00,CVE-2023-34060,
0day,SnipeIT-6-2-1-Stored-Cross-Site-Scripting-Vulnerability,SnipeIT 6.2.1 - Stored Cross Site Scripting Vulnerability,,2024-03-12 00:00:00+00:00,CVE-2023-5452,xss
0day,NorthStar-C2-Agent-1-0-Cross-Site-Scripting-Remote-Command-Execu,NorthStar C2 Agent 1.0 Cross Site Scripting / Remote Command Execution Exploit,,2024-03-12 00:00:00+00:00,CVE-2024-28741,xss
0day,JetBrains-TeamCity-2023-05-3-Remote-Code-Execution-Exploit,JetBrains TeamCity 2023.05.3 - Remote Code Execution Exploit,,2024-03-14 00:00:00+00:00,CVE-2023-42793,rce
0day,Honeywell-PM43-P10-19-050004-Remote-Code-Execution-Exploit,Honeywell PM43 < P10.19.050004 - Remote Code Execution Exploit,,2024-03-14 00:00:00+00:00,CVE-2023-3710,rce
0day,SolarView-Compact-6-00-Command-Injection-Exploit,SolarView Compact 6.00 - Command Injection Exploit,,2024-03-14 00:00:00+00:00,CVE-2023-23333,
0day,Viessmann-Vitogate-300-2-1-3-0-Remote-Code-Execution-Exploit,Viessmann Vitogate 300 2.1.3.0 - Remote Code Execution Exploit,,2024-03-14 00:00:00+00:00,"CVE-2023-5702,CVE-2023-5222",rce
0day,Ruijie-Switch-PSG-5124-26293-Remote-Code-Execution-Exploit,Ruijie Switch PSG-5124 26293 - Remote Code Execution Exploit,,2024-03-14 00:00:00+00:00,,rce
0day,KiTTY-0-76-1-13-Start-Duplicated-Session-Hostname-Buffer-Overflo,KiTTY 0.76.1.13 - Start Duplicated Session Hostname Buffer Overflow Exploit,,2024-03-14 00:00:00+00:00,CVE-2024-25003,overflow
0day,KiTTY-0-76-1-13-Start-Duplicated-Session-Username-Buffer-Overflo,KiTTY 0.76.1.13 - Start Duplicated Session Username Buffer Overflow Exploit,,2024-03-14 00:00:00+00:00,,overflow
0day,KiTTY-0-76-1-13-Command-Injection-Exploit,KiTTY 0.76.1.13 - Command Injection Exploit,,2024-03-14 00:00:00+00:00,CVE-2024-23749,
0day,GitLab-CE-EE-16-7-2-Password-Reset-Vulnerability,GitLab CE/EE < 16.7.2 - Password Reset Vulnerability,,2024-03-14 00:00:00+00:00,CVE-2023-7028,
0day,StimulusReflex-3-5-0-Arbitrary-Code-Execution-Exploit,StimulusReflex 3.5.0 Arbitrary Code Execution Exploit,,2024-03-14 00:00:00+00:00,CVE-2024-28121,rce
0day,Winter-CMS-1-2-3-Server-Side-Template-Injection-SSTI-Authenticat,Winter CMS 1.2.3 - Server-Side Template Injection (SSTI) (Authenticated) Vulnerability,,2024-03-18 00:00:00+00:00,,
0day,LaborOfficeFree-19-10-MySQL-Root-Password-Calculator-Exploit,LaborOfficeFree 19.10 - MySQL Root Password Calculator Exploit,,2024-03-18 00:00:00+00:00,CVE-2024-1346,
0day,Karaf-v4-4-3-Console-Remote-Code-Execution-Exploit,Karaf v4.4.3 Console - Remote Code Execution Exploit,,2024-03-18 00:00:00+00:00,,rce
0day,Nokia-BMC-Log-Scanner-Remote-Code-Execution-Vulnerability,Nokia BMC Log Scanner - Remote Code Execution Vulnerability,,2024-03-18 00:00:00+00:00,CVE-2022-45899,rce
0day,UPS-Network-Management-Card-4-Path-Traversal-Vulnerability,UPS Network Management Card 4 - Path Traversal Vulnerability,,2024-03-18 00:00:00+00:00,,
0day,vm2-Sandbox-Escape-Exploit,vm2 - Sandbox Escape Exploit,,2024-03-18 00:00:00+00:00,CVE-2023-37466,
0day,WordPress-File-Upload-Plugin-4-23-3-Stored-XSS-Vulnerability,WordPress File Upload Plugin < 4.23.3 - Stored XSS Vulnerability,,2024-03-18 00:00:00+00:00,CVE-2023-4811,xss
0day,ZoneMinder-Snapshots-1-37-33-Unauthenticated-Remote-Code-Executi,ZoneMinder Snapshots < 1.37.33 - Unauthenticated Remote Code Execution Exploit,,2024-03-18 00:00:00+00:00,CVE-2023-26035,rce
0day,WEBIGniter-v28-7-23-Stored-XSS-Vulnerability,WEBIGniter v28.7.23 - Stored XSS Vulnerability,,2024-03-18 00:00:00+00:00,,xss
0day,Gibbon-LMS-v26-0-00-Authenticated-Remote-Code-Execution-Exploit,Gibbon LMS < v26.0.00 - Authenticated Remote Code Execution Exploit,,2024-03-18 00:00:00+00:00,CVE-2024-24725,rce
0day,Atlassian-Confluence-8-5-3-Remote-Code-Execution-Exploit,Atlassian Confluence < 8.5.3 - Remote Code Execution Exploit,,2024-03-18 00:00:00+00:00,CVE-2023-22527,rce
0day,Backdrop-CMS-1-23-0-Stored-XSS-Vulnerability,Backdrop CMS 1.23.0 - Stored XSS Vulnerability,,2024-03-18 00:00:00+00:00,,xss
0day,Quick-CMS-6-7-SQL-Injection-Login-Bypass-Vulnerability,Quick.CMS 6.7 - SQL Injection Login Bypass Vulnerability,,2024-03-18 00:00:00+00:00,,sqli
0day,Tramyardg-Autoexpress-1-3-0-Cross-Site-Scripting-Vulnerability,Tramyardg Autoexpress 1.3.0 Cross Site Scripting Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2023-48903,xss
0day,Tramyardg-Autoexpress-1-3-0-SQL-Injection-Vulnerability,Tramyardg Autoexpress 1.3.0 SQL Injection Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2023-48901,sqli
0day,Tramyardg-Autoexpress-1-3-0-Authentication-Bypass-Vulnerability,Tramyardg Autoexpress 1.3.0 Authentication Bypass Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2023-48902,
0day,Employee-Management-System-1-0-admin-id-SQL-injection-Vulnerabil,Employee Management System 1.0 - (admin_id) SQL injection Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2024-28595,sqli
0day,Hitachi-NAS-SMU-14-8-7825-Information-Disclosure-Vulnerability,Hitachi NAS SMU 14.8.7825 Information Disclosure Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2023-6538,info
0day,Simple-Task-List-1-0-status-SQL-injection-Vulnerability,Simple Task List 1.0 - (status) SQL injection Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2023-46023,sqli
0day,Teacher-Subject-Allocation-Management-System-1-0-searchdata-SQL-,Teacher Subject Allocation Management System 1.0 - (searchdata) SQL injection Vulnerability,,2024-03-20 00:00:00+00:00,CVE-2023-46024,sqli
0day,Lektor-Static-CMS-3-3-10-Arbitrary-File-Upload-Remote-Code-Execu,Lektor Static CMS 3.3.10 Arbitrary File Upload / Remote Code Execution Vulnerabilities,,2024-03-20 00:00:00+00:00,,rce
0day,Craft-CMS-4-4-14-Unauthenticated-Remote-Code-Execution-Exploit,Craft CMS 4.4.14 - Unauthenticated Remote Code Execution Exploit,,2024-03-27 00:00:00+00:00,CVE-2023-41892,rce
0day,SPA-CART-CMS-Stored-XSS-Vulnerability,SPA-CART CMS - Stored XSS Vulnerability,,2024-03-27 00:00:00+00:00,,xss
0day,Insurance-Management-System-PHP-and-MySQL-1-0-Multiple-Stored-XS,Insurance Management System PHP and MySQL 1.0 - Multiple Stored XSS Vulnerabilities,,2024-03-27 00:00:00+00:00,,xss
0day,MobileShop-master-v1-0-SQL-Injection-Vulnerability,MobileShop master v1.0 - SQL Injection Vulnerability,,2024-03-27 00:00:00+00:00,,sqli
0day,LBT-T300-mini1-Remote-Buffer-Overflow-Exploit,LBT-T300-mini1 - Remote Buffer Overflow Exploit,,2024-03-27 00:00:00+00:00,,overflow
0day,Nagios-XI-Version-2024R1-01-SQL-Injection-Exploit,Nagios XI Version 2024R1.01 - SQL Injection Exploit,,2024-03-27 00:00:00+00:00,,sqli
0day,LimeSurvey-Community-5-3-32-Stored-XSS-Vulnerability,LimeSurvey Community 5.3.32 - Stored XSS Vulnerability,,2024-03-27 00:00:00+00:00,CVE-2024-24506,xss
0day,Artica-Proxy-Unauthenticated-PHP-Deserialization-Exploit,Artica Proxy Unauthenticated PHP Deserialization Exploit,,2024-03-27 00:00:00+00:00,CVE-2024-2054,
0day,Sharepoint-Dynamic-Proxy-Generator-Remote-Command-Execution-Expl,Sharepoint Dynamic Proxy Generator Remote Command Execution Exploit,,2024-03-27 00:00:00+00:00,"CVE-2023-24955,CVE-2023-29357",
0day,WordPress-Bricks-Builder-Theme-1-9-6-Remote-Code-Execution-Explo,WordPress Bricks Builder Theme 1.9.6 Remote Code Execution Exploit,,2024-03-27 00:00:00+00:00,CVE-2024-25600,rce
0day,OpenNMS-Horizon-31-0-7-Remote-Command-Execution-Exploit,OpenNMS Horizon 31.0.7 Remote Command Execution Exploit,,2024-03-27 00:00:00+00:00,"CVE-2023-0872,CVE-2023-40315",
0day,Asterisk-AMI-Partial-File-Content-Path-Disclosure-Authenticated-,Asterisk AMI - Partial File Content & Path Disclosure (Authenticated) Exploit,,2024-03-29 00:00:00+00:00,,
0day,Workout-Journal-App-1-0-Stored-XSS-Vulnerability,Workout Journal App 1.0 - Stored XSS Vulnerability,,2024-03-29 00:00:00+00:00,CVE-2024-24050,xss
0day,Purei-CMS-1-0-SQL-Injection-Vulnerability,Purei CMS 1.0 - SQL Injection Vulnerability,,2024-03-29 00:00:00+00:00,,sqli
0day,NodeBB-v3-6-7-Broken-Access-Control-Vulnerability,NodeBB v3.6.7 Broken Access Control Vulnerability,,2024-03-29 00:00:00+00:00,,
0day,RouterOS-6-40-5-6-44-and-6-48-1-6-49-10-Denial-of-Service-Exploi,RouterOS 6.40.5 - 6.44 and 6.48.1 - 6.49.10 - Denial of Service Exploit,,2024-03-29 00:00:00+00:00,CVE-2024-27686,dos
0day,Siklu-MultiHaul-TG-series-2-0-0-unauthenticated-credential-discl,Siklu MultiHaul TG series < 2.0.0 - unauthenticated credential disclosure Exploit,,2024-03-29 00:00:00+00:00,,
0day,Dell-Security-Management-Server-1-9-0-Local-Privilege-Escalation,Dell Security Management Server <1.9.0 - Local Privilege Escalation Exploit,,2024-03-29 00:00:00+00:00,CVE-2023-32479,priv_esc
0day,WinRAR-version-6-22-Remote-Code-Execution-via-ZIP-archive-Exploi,WinRAR version 6.22 - Remote Code Execution via ZIP archive Exploit,,2024-03-29 00:00:00+00:00,,rce
